ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
102444,Unknown,NaN,NaN,False ,True ,False ,1,La Florida,-33.55981,-70.55494,Shared room,3,0,1,2,70443.00,1,730,365,0,0,,,,,,,,False ,1,
49392,within a day,0.5,NaN,False ,True ,True ,3,Providencia,-33.43266,-70.60072,Private room,1,,1,1,46669.00,3,730,178,0,0,,,,,,,,True ,2,
24225724,a few days or more,0,NaN,False ,True ,False ,1,Quilicura,-33.30319,-70.69612,Private room,1,1,1,2,18357.00,5,46,179,0,0,,,,,,,,True ,1,
25352401,Unknown,NaN,NaN,False ,True ,False ,1,La Pintana,-33.59622,-70.67131,Private room,1,2,2,2,10000.00,1,1125,89,0,0,,,,,,,,True ,1,
33305262,within a day,0.6,0.33,False ,True ,False ,1,La Florida,-33.56327,-70.55508,Private room,1,1,1,1,11500.00,1,1125,360,1,0,5,5,5,5,5,5,5,True ,1,0.03
1618821,Unknown,NaN,NaN,False ,True ,False ,1,La Florida,-33.58357,-70.58625,Private room,1,1,1,1,22013.00,7,1125,365,0,0,,,,,,,,False ,1,
11253705,within a day,1,NaN,False ,True ,False ,1,La Pintana,-33.59979,-70.59242,Private room,2,2.5,1,2,52832.00,1,1125,365,0,0,,,,,,,,False ,1,
40707516,within an hour,1,0.9,True ,True ,True ,3,Quilicura,-33.31922,-70.69587,Entire home/apt,2,1,1,1,70714.00,3,90,17,22,14,4.95,4.95,4.82,5,5,4.95,4.91,False ,3,0.73
31726393,Unknown,NaN,0,False ,True ,True ,1,La Florida,-33.56436,-70.56819,Entire home/apt,6,1,3,3,50000.00,1,1125,179,0,0,,,,,,,,True ,1,
47800065,a few days or more,0,1,False ,True ,True ,1,Maipú,-33.5768,-70.78,Entire home/apt,6,2,2,4,150000.00,4,365,89,5,1,5,5,5,5,4.8,4.8,5,False ,1,0.3
1805957,Unknown,NaN,1,False ,True ,True ,1,Providencia,-33.43054,-70.61197,Entire home/apt,2,2,1,1,79248.00,15,90,347,0,0,,,,,,,,False ,1,
513333,Unknown,NaN,NaN,False ,True ,True ,3,Providencia,-33.42918,-70.59036,Private room,1,1,1,1,15000.00,1,30,172,71,0,4.86,4.87,4.82,4.97,4.91,4.97,4.9,False ,1,0.64
529207,Unknown,NaN,NaN,False ,True ,True ,1,Peñalolén,-33.47721,-70.52016,Private room,8,6,1,7,528323.00,5,365,365,0,0,,,,,,,,False ,1,
533042,within an hour,0.93,1,False ,True ,True ,1,Providencia,-33.42845,-70.61774,Entire home/apt,3,1,1,2,39624.00,3,30,132,122,17,4.59,4.86,4.51,4.88,4.83,4.93,4.63,True ,1,1.8
1806658,Unknown,NaN,NaN,False ,True ,False ,1,Recoleta,-33.42466,-70.64047,Private room,1,1,1,1,22894.00,2,1125,362,0,0,,,,,,,,False ,1,
1810705,Unknown,NaN,NaN,False ,True ,True ,1,Santiago,-33.45175,-70.64049,Private room,2,1,1,2,22013.00,2,1125,141,7,0,4.86,4.86,5,5,4.57,4.43,5,False ,1,0.07
1854958,Unknown,NaN,NaN,False ,True ,False ,1,Las Condes,-33.40346,-70.54718,Private room,1,1,1,1,44027.00,1,1125,365,0,0,,,,,,,,False ,1,
1864347,Unknown,NaN,0,False ,True ,False ,1,Providencia,-33.42853,-70.59434,Private room,1,1,1,1,22000.00,3,30,363,0,0,,,,,,,,False ,1,
1873527,a few days or more,0,1,False ,True ,False ,1,Santiago,-33.4528,-70.65521,Entire home/apt,4,1,1,2,39624.00,4,360,365,5,0,4.5,4.75,4.75,4.5,5,3.5,4.25,True ,1,0.05
1886495,Unknown,NaN,NaN,False ,True ,False ,3,Las Condes,-33.41918,-70.56866,Private room,1,1,1,1,37126.00,1,1125,365,0,0,,,,,,,,False ,1,
1892699,Unknown,NaN,NaN,False ,True ,False ,1,Santiago,-33.43855,-70.64371,Private room,1,1,1,1,69184.00,3,30,365,0,0,,,,,,,,False ,1,
533257,Unknown,NaN,NaN,False ,True ,False ,1,Santiago,-33.43615,-70.64867,Private room,3,1,1,1,52832.00,2,330,365,0,0,,,,,,,,False ,1,
558026,within an hour,1,0.83,False ,True ,False ,1,Providencia,-33.43451,-70.62698,Entire home/apt,2,1,1,1,37895.00,2,1125,317,20,14,4.95,4.85,4.85,4.8,5,5,4.9,False ,1,0.23
559852,a few days or more,0.33,0.25,False ,True ,True ,7,Providencia,-33.42649,-70.61571,Entire home/apt,5,1,2,3,96859.00,2,1125,264,12,0,4.25,4.25,4.25,4.92,4.92,4.92,4.5,False ,7,0.14
564038,Unknown,NaN,0,False ,True ,False ,1,Santiago,-33.43811,-70.64547,Entire home/apt,4,1,1,2,74846.00,2,1125,365,1,0,4,5,4,2,2,5,5,False ,1,0.01
566139,within an hour,1,0.99,False ,True ,True ,3,Providencia,-33.4262,-70.61853,Entire home/apt,5,2,2,3,57235.00,3,1125,320,198,19,4.53,4.61,4.17,4.78,4.71,4.93,4.59,True ,2,1.65
583154,Unknown,NaN,NaN,False ,True ,False ,1,Santiago,-33.45592,-70.63256,Private room,1,,1,1,44027.00,1,1125,365,0,0,,,,,,,,False ,1,
600739,a few days or more,0.33,0.25,False ,True ,True ,7,Providencia,-33.42492,-70.61605,Entire home/apt,5,1,2,3,96859.00,2,1125,264,22,0,4.36,4.64,3.95,5,5,4.86,4.41,False ,7,0.26
600741,a few days or more,0.33,0.25,False ,True ,True ,7,Providencia,-33.42462,-70.61619,Entire home/apt,3,1,1,,61638.00,2,1125,169,9,0,4.33,4.56,4.11,5,5,4.56,4.44,False ,7,0.11
609532,Unknown,NaN,NaN,False ,True ,False ,3,Santiago,-33.43799,-70.6481,Private room,2,1,1,1,70443.00,1,1125,365,0,0,,,,,,,,False ,3,
622498,Unknown,NaN,1,False ,True ,True ,3,Las Condes,-33.41263,-70.58843,Entire home/apt,3,1,1,2,96859.00,4,1125,48,28,0,4.92,5,4.89,5,5,4.96,4.78,False ,3,0.23
