VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
7,40707516,within an hour,1,0.9,True,True,True,3,Quilicura,-33.31922,-70.69587,Entire home/apt,2,3,1,1,70714,3,90,17,22,14,4.95,4.95,4.82,5,5,4.95,4.91,False,3,0.73
8,31726393,Unknown,0,0,False,True,True,1,La Florida,-33.56436,-70.56819,Entire home/apt,6,1,3,3,50000,1,30,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
9,47800065,a few days or more,0,1,False,True,True,1,Maipú,-33.5768,-70.78,Entire home/apt,6,1,2,4,150000,4,365,89,5,1,5,5,5,5,4.8,4.8,5,False,1,0.3
10,1805957,Unknown,0,1,False,True,True,1,Providencia,-33.43054,-70.61197,Entire home/apt,2,1,1,1,79248,15,90,347,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
13,533042,within an hour,0.93,1,False,True,True,1,Providencia,-33.42845,-70.61774,Entire home/apt,3,1,1,2,39624,3,30,132,122,17,4.59,4.86,4.51,4.88,4.83,4.93,4.63,True,1,1.8
18,1873527,a few days or more,0,1,False,True,False,1,Santiago,-33.4528,-70.65521,Entire home/apt,4,1,1,2,39624,4,360,365,5,0,4.5,4.75,4.75,4.5,5,3.5,4.25,True,1,0.05
22,558026,within an hour,1,0.83,False,True,False,1,Providencia,-33.43451,-70.62698,Entire home/apt,2,1,1,1,37895,2,30,317,20,14,4.95,4.85,4.85,4.8,5,5,4.9,False,1,0.23
23,559852,a few days or more,0.33,0.25,False,True,True,7,Providencia,-33.42649,-70.61571,Entire home/apt,5,7,2,3,96859,2,30,264,12,0,4.25,4.25,4.25,4.92,4.92,4.92,4.5,False,7,0.14
24,564038,Unknown,0,0,False,True,False,1,Santiago,-33.43811,-70.64547,Entire home/apt,4,1,1,2,74846,2,30,365,1,0,4,5,4,2,2,5,5,False,1,0.01
25,566139,within an hour,1,0.99,False,True,True,3,Providencia,-33.4262,-70.61853,Entire home/apt,5,3,2,3,57235,3,30,320,198,19,4.53,4.61,4.17,4.78,4.71,4.93,4.59,True,2,1.65
