VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1,49392,within a day,0.5,0,False,True,True,3,Providencia,-33.43266,-70.60072,Private room,1,3,1,1,46669,3,30,178,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,2,0
2,24225724,a few days or more,0,0,False,True,False,1,Quilicura,-33.30319,-70.69612,Private room,1,1,1,2,18357,5,46,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
3,25352401,Unknown,0,0,False,True,False,1,La Pintana,-33.59622,-70.67131,Private room,1,1,2,2,10000,1,30,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4,33305262,within a day,0.6,0.33,False,True,False,1,La Florida,-33.56327,-70.55508,Private room,1,1,1,1,11500,1,30,360,1,0,5,5,5,5,5,5,5,True,1,0.03
5,1618821,Unknown,0,0,False,True,False,1,La Florida,-33.58357,-70.58625,Private room,1,1,1,1,22013,7,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
6,11253705,within a day,1,0,False,True,False,1,La Pintana,-33.59979,-70.59242,Private room,2,1,1,2,52832,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
11,513333,Unknown,0,0,False,True,True,3,Providencia,-33.42918,-70.59036,Private room,1,3,1,1,15000,1,30,172,71,0,4.86,4.87,4.82,4.97,4.91,4.97,4.9,False,1,0.64
12,529207,Unknown,0,0,False,True,True,1,Peñalolén,-33.47721,-70.52016,Private room,8,1,1,7,528323,5,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
14,1806658,Unknown,0,0,False,True,False,1,Recoleta,-33.42466,-70.64047,Private room,1,1,1,1,22894,2,30,362,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
15,1810705,Unknown,0,0,False,True,True,1,Santiago,-33.45175,-70.64049,Private room,2,1,1,2,22013,2,30,141,7,0,4.86,4.86,5,5,4.57,4.43,5,False,1,0.07
16,1854958,Unknown,0,0,False,True,False,1,Las Condes,-33.40346,-70.54718,Private room,1,1,1,1,44027,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
17,1864347,Unknown,0,0,False,True,False,1,Providencia,-33.42853,-70.59434,Private room,1,1,1,1,22000,3,30,363,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
19,1886495,Unknown,0,0,False,True,False,3,Las Condes,-33.41918,-70.56866,Private room,1,3,1,1,37126,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
20,1892699,Unknown,0,0,False,True,False,1,Santiago,-33.43855,-70.64371,Private room,1,1,1,1,69184,3,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
21,533257,Unknown,0,0,False,True,False,1,Santiago,-33.43615,-70.64867,Private room,3,1,1,1,52832,2,330,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
26,583154,Unknown,0,0,False,True,False,1,Santiago,-33.45592,-70.63256,Private room,1,1,1,1,44027,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
29,609532,Unknown,0,0,False,True,False,3,Santiago,-33.43799,-70.6481,Private room,2,3,1,1,70443,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
31,643936,Unknown,0,0,False,True,False,3,Santiago,-33.43721,-70.64889,Private room,2,3,1,2,70443,3,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
34,65058,a few days or more,0,0,False,True,False,1,Recoleta,-33.43049,-70.64135,Private room,2,1,1,1,52832,2,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
35,73752,Unknown,0,0,False,True,False,1,Santiago,-33.43868,-70.64414,Private room,1,1,1,1,70443,3,10,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
38,80482,a few days or more,0,0,False,True,False,1,La Florida,-33.51918,-70.59149,Private room,2,1,1,1,22276,2,30,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
40,1906152,within a day,1,0.82,True,True,True,1,Ñuñoa,-33.45728,-70.59157,Private room,1,1,1,1,17611,1,15,356,16,4,5,4.93,4.87,5,5,4.93,5,False,1,0.22
43,643967,Unknown,0,0,False,True,False,3,Santiago,-33.43602,-70.64886,Private room,2,3,1,1,70443,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
44,1914509,Unknown,0,0,False,True,False,1,Las Condes,-33.4197,-70.55696,Private room,1,1,1,1,35222,7,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
46,656930,within an hour,0.87,0.93,False,True,True,5,Providencia,-33.41866,-70.61127,Private room,2,5,1,12,35000,1,365,365,3,2,4.33,5,4.67,5,5,5,4.33,False,5,0.23
54,94147,Unknown,0,0,False,True,False,2,Las Condes,-33.39929,-70.54542,Private room,1,2,1,1,43146,1,30,365,2,0,4.5,5,5,5,5,5,5,False,1,0.02
59,734844,within an hour,1,0.5,False,True,True,0,Santiago,-33.44481,-70.6339,Private room,2,0,2,2,19372,5,30,365,85,2,4.61,4.42,4.48,4.68,4.66,4.59,4.68,False,1,0.75
