VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
0,102444,Unknown,0,0,False,True,False,1,La Florida,-33.55981,-70.55494,Shared room,3,1,1,2,70443,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
82,2096152,Unknown,0,0,False,True,False,1,Las Condes,-33.40707,-70.58549,Shared room,2,1,1,2,75726,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
120,147552,a few days or more,0,0,False,True,False,2,Lo Barnechea,-33.36054,-70.51288,Shared room,4,2,1,2,36983,1,30,365,5,0,5,4.2,4.6,4.6,4.8,4.8,4.6,False,2,0.06
199,2703418,within a day,0.7,0.83,False,True,False,2,Santiago,-33.45911,-70.65165,Shared room,2,2,1,2,18000,1,30,360,19,9,4.56,4.81,4.69,4.69,4.81,4.69,4.69,False,3,0.23
255,3003999,a few days or more,0,0,False,True,True,1,Santiago,-33.44779,-70.63306,Shared room,3,1,1,1,51952,1,30,365,1,0,5,5,5,5,5,5,5,False,1,0.01
455,6504999,Unknown,0,0,False,True,False,1,San Miguel,-33.50001,-70.65824,Shared room,2,1,1,2,74846,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
457,5312541,within a few hours,0.92,1,False,True,True,3,Santiago,-33.44054,-70.67307,Shared room,14,3,1,13,17611,90,30,358,13,0,4.31,4.23,4.42,4.38,4.23,4,4.31,True,1,0.15
520,6527934,a few days or more,0,0,False,True,False,1,Santiago,-33.45345,-70.64629,Shared room,2,1,1,1,48430,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
557,4791814,within an hour,1,1,False,True,False,1,Santiago,-33.43671,-70.6369,Shared room,8,1,1,8,17611,1,365,363,28,1,4.5,4.46,4.36,4.43,4.64,4.79,4.5,True,1,0.31
663,9520514,Unknown,0,0,False,True,True,1,Providencia,-33.43294,-70.61499,Shared room,1,1,1,1,26416,1,5,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
680,7816718,a few days or more,0,0,False,True,False,1,Recoleta,-33.42179,-70.64294,Shared room,16,1,1,16,17611,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
791,8286004,within an hour,1,0.8,False,True,False,4,Providencia,-33.44501,-70.62811,Shared room,6,4,1,6,19372,1,4,172,37,0,4.76,4.68,4.57,4.84,4.81,4.84,4.78,True,4,0.45
797,8290728,within an hour,1,0.8,False,True,False,4,Providencia,-33.44468,-70.62738,Shared room,8,4,1,8,17611,1,7,172,20,0,4.6,4.58,4.63,4.79,4.89,4.79,4.79,True,4,0.24
930,10946651,within a few hours,1,0.5,False,True,False,3,Santiago,-33.44714,-70.6584,Shared room,3,3,1,2,48430,1,30,365,1,0,0,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0.01
1098,11396884,Unknown,0,1,False,True,True,1,Estación Central,-33.45506,-70.69957,Shared room,1,1,1,2,39624,1,30,180,1,0,4,5,5,5,5,4,5,True,1,0.01
1160,13203313,within a day,1,0,False,True,True,2,Lo Barnechea,-33.35024,-70.29243,Shared room,9,2,1,9,141429,2,30,339,39,0,4.95,4.92,4.89,4.95,4.95,4.95,4.81,False,1,0.53
1194,12954150,within a day,1,0.14,False,True,True,1,La Florida,-33.54043,-70.56911,Shared room,6,1,1,4,12066,1,30,323,6,0,4.8,5,4.4,5,5,4.5,4.75,False,1,0.08
1271,14298883,a few days or more,0,0,False,False,False,1,Providencia,-33.43538,-70.63013,Shared room,12,1,1,16,10249,1,30,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1334,15204315,Unknown,0,0,False,True,False,1,Santiago,-33.43621,-70.64946,Shared room,1,1,1,1,11429,1,30,87,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1454,16018281,Unknown,0,0,False,True,False,1,Providencia,-33.44507,-70.59694,Shared room,2,1,1,1,26416,2,30,172,3,0,5,5,5,5,5,5,5,False,1,0.06
1480,16514572,a few days or more,0,0,False,True,False,1,Ñuñoa,-33.458,-70.60862,Shared room,1,1,1,1,18500,2,7,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1496,15760298,Unknown,0,0,False,True,True,1,Santiago,-33.44799,-70.63992,Shared room,1,1,1,1,9000,1,4,113,2,0,5,5,5,5,5,5,5,True,1,0.03
1630,17203525,within an hour,0.93,0.97,False,True,True,16,Providencia,-33.4406,-70.6335,Shared room,1,16,1,1,8990,1,30,307,37,23,4.51,4.62,4.49,4.62,4.54,4.62,4.59,True,16,0.58
1733,18008512,within a few hours,0.71,0,False,True,False,1,Santiago,-33.45018,-70.64184,Shared room,1,1,1,0,9000,1,3,176,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1909,19363632,Unknown,0,0,False,True,False,1,Maipú,-33.5214,-70.779,Shared room,3,1,1,3,250000,1,30,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1912,18434180,Unknown,0,0,False,True,False,1,Santiago,-33.43752,-70.64419,Shared room,1,1,1,1,25000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1963,19504452,Unknown,0,0,False,True,False,1,Macul,-33.48414,-70.59389,Shared room,2,1,1,2,20000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1979,19983192,a few days or more,0,0,False,True,False,3,Providencia,-33.42498,-70.60999,Shared room,2,3,1,2,52832277,3,30,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2025,20169004,a few days or more,0,0,False,True,False,1,Las Condes,-33.39989,-70.55941,Shared room,2,1,1,1,30000,1,2,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2080,19802570,Unknown,0,0,False,True,False,1,Santiago,-33.44817,-70.67078,Shared room,1,1,1,1,22000,2,7,90,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2087,20215358,a few days or more,0.25,1,False,True,False,1,Renca,-33.39739,-70.69803,Shared room,1,1,1,1,8214,7,31,365,3,0,4.33,5,3.67,5,5,5,5,True,1,0.05
2234,20755408,Unknown,0,0,False,True,True,1,Santiago,-33.43931,-70.65172,Shared room,3,1,1,3,90000,1,31,364,1,0,0,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.02
2272,21546639,Unknown,0,0,False,True,True,4,Providencia,-33.4251,-70.59886,Shared room,1,4,1,1,20000,4,30,0,27,0,4.93,4.81,4.67,4.96,4.93,4.81,4.81,True,1,0.48
2397,22617143,Unknown,0,0,False,True,False,1,Macul,-33.4906,-70.61605,Shared room,1,1,1,1,35000,1,3,180,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2475,22714081,a few days or more,0,0,False,True,False,1,Providencia,-33.43155,-70.62358,Shared room,2,1,1,2,22000,1,30,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2479,22340869,Unknown,0,0,False,True,False,1,Santiago,-33.44685,-70.64993,Shared room,3,1,1,3,65000,3,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2525,22415948,a few days or more,0.33,0,False,True,False,2,Santiago,-33.44759,-70.65432,Shared room,1,2,1,1,15000,2,60,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
2531,22423223,a few days or more,0,0,False,True,False,1,Santiago,-33.44965,-70.65667,Shared room,2,1,1,2,20000,1,30,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2537,22859291,Unknown,0,0,False,True,False,1,Santiago,-33.43845,-70.66182,Shared room,1,1,1,1,9000,7,7,90,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2586,23913798,within a few hours,0.67,0,False,True,False,1,Independencia,-33.4276,-70.65473,Shared room,1,1,1,1,9686,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2654,24101336,a few days or more,0,0,False,True,False,1,Santiago,-33.43433,-70.65553,Shared room,1,1,1,1,9000,1,3,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
2754,24303933,Unknown,0,0,False,True,False,1,La Cisterna,-33.52334,-70.6533,Shared room,3,1,1,1,60455,3,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2805,23748588,Unknown,0,0,False,True,False,1,Santiago,-33.44928,-70.65575,Shared room,1,1,1,1,35000,2,10,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2895,25536706,a few days or more,0,0,False,True,True,4,Las Condes,-33.41769,-70.60183,Shared room,1,4,1,1,25000,1,2,90,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0
2897,25543756,a few days or more,0,0,False,True,True,4,Providencia,-33.41961,-70.60209,Shared room,1,4,1,1,25148,1,2,87,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,2,0
2911,25631208,Unknown,0,0,False,True,False,1,Santiago,-33.43207,-70.67632,Shared room,1,1,1,1,28000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
2913,25648527,within a few hours,1,1,True,True,False,1,Las Condes,-33.41227,-70.56594,Shared room,1,1,1,1,15000,7,30,172,1,1,5,5,5,5,5,5,5,False,5,0.09
2931,25784545,a few days or more,0,0,False,True,False,1,Las Condes,-33.41171,-70.59232,Shared room,1,1,1,1,18000,20,23,0,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
3000,26805816,within an hour,0.93,0.97,False,True,True,16,Santiago,-33.44164,-70.63453,Shared room,1,16,1,5,8990,1,99,339,32,16,4.56,4.69,4.41,4.72,4.59,4.81,4.59,True,16,0.67
3001,26806065,within an hour,0.93,0.97,False,True,True,16,Providencia,-33.44061,-70.63328,Shared room,1,16,1,6,8990,1,30,345,13,9,4,4.15,3.85,4.38,4.31,4.46,4.23,True,16,0.32
