,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1,47908784.0,within a day,0.5,1.0,False,1.0,True,False,Freguesia (JacarepaguÃ¡),-22.93633,-43.34907,Entire home/apt,4,2.0,2.0,2.0,450,7,1125,52,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
2,52239613.0,within a day,1.0,0.89,False,0.0,True,False,Curicica,-22.96253,-43.40291,Entire home/apt,5,1.0,2.0,5.0,350,2,365,347,9,9,5.0,5.0,5.0,4.89,4.78,4.78,4.89,False,1,1.16
3,10445855.0,within an hour,1.0,1.0,False,2.0,True,True,Vila Militar,-22.87969,-43.40361,Entire home/apt,3,1.0,1.0,2.0,145,3,300,79,46,1,4.78,4.91,4.89,4.93,4.87,4.7,4.57,False,1,0.64
5,35351763.0,unknown,0.0,0.0,False,1.0,True,False,Pavuna,-22.81321,-43.38573,Entire home/apt,1,1.0,2.0,3.0,500,1,2,180,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
6,52237944.0,within an hour,1.0,0.99,False,0.0,True,True,Vasco da Gama,-22.89127,-43.23185,Entire home/apt,5,1.0,1.0,5.0,90,1,365,350,6,6,4.83,4.67,5.0,5.0,5.0,4.83,5.0,True,3,0.71
7,46582098.0,within a day,1.0,0.0,False,0.0,True,True,Curicica,-22.96186,-43.40088,Entire home/apt,2,1.0,1.0,1.0,1500,7,28,173,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
9,45527723.0,within a few hours,0.8,0.6,False,6.0,True,False,Penha Circular,-22.83619,-43.28837,Entire home/apt,3,1.0,1.0,3.0,100,7,90,362,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,3,0.0
10,14029066.0,a few days or more,0.0,0.0,False,1.0,True,False,GardÃªnia Azul,-22.96255,-43.34632,Entire home/apt,5,1.0,1.0,1.0,533,1,40,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
11,53352919.0,within an hour,1.0,0.98,False,7.0,True,True,Barra de Guaratiba,-23.06492,-43.5673,Entire home/apt,16,10.0,8.0,8.0,8000,1,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,10,0.0
12,26235725.0,a few days or more,0.22,0.0,False,2.0,True,True,Barra de Guaratiba,-23.06071,-43.56074,Entire home/apt,5,1.0,2.0,4.0,950,4,1125,358,2,0,4.5,4.5,5.0,5.0,5.0,5.0,4.5,False,1,0.04
13,49968038.0,within a day,0.7,1.0,False,3.0,True,False,ItanhangÃ¡,-22.99996,-43.30358,Entire home/apt,4,1.0,1.0,2.0,147,1,30,335,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.0
14,53308157.0,unknown,0.0,0.0,False,0.0,True,True,Guaratiba,-22.95145,-43.56587,Entire home/apt,6,2.0,3.0,2.0,447,1,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
