,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
17,865012.0,within an hour,1.0,0.84,True,18,True,True,CuauhtÃ©moc,19.43078,-99.17011,Hotel room,2,1.0,1.0,1.0,1111.0,2,730,356,31,1,4.97,4.97,4.94,5.0,5.0,4.97,4.97,True,10,0.27
21,865070.0,within a few hours,1.0,0.33,False,5,True,True,CoyoacÃ¡n,19.34424,-99.17095,Hotel room,2,1.0,1.0,1.0,608.0,3,15,351,9,1,4.89,5.0,5.0,5.0,5.0,5.0,4.89,False,2,0.08
23,868843.0,within an hour,1.0,0.84,True,18,True,True,CuauhtÃ©moc,19.43068,-99.17007,Hotel room,2,1.0,1.0,1.0,1010.0,2,730,361,41,6,4.98,4.98,4.9,5.0,5.0,5.0,4.88,True,10,0.43
30,869063.0,within an hour,1.0,0.84,True,18,True,True,CuauhtÃ©moc,19.43052,-99.17003,Hotel room,2,1.0,1.0,1.0,1010.0,2,730,355,19,1,4.95,5.0,4.95,5.0,5.0,4.95,4.95,True,10,0.24
54,281134.0,within an hour,1.0,0.66,False,9,True,True,CuauhtÃ©moc,19.41108,-99.17634,Hotel room,3,1.0,1.0,2.0,2887.0,1,365,198,7,0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,True,11,0.08
149,1565220.0,within a few hours,1.0,0.8,False,8,True,True,Ãlvaro ObregÃ³n,19.34735,-99.19016,Hotel room,2,1.0,1.0,1.0,2900.0,1,90,365,23,0,4.96,5.0,5.0,5.0,5.0,4.91,4.91,False,7,0.22
165,571166.0,within an hour,1.0,0.66,False,9,True,True,CuauhtÃ©moc,19.41346,-99.1775,Hotel room,3,1.0,1.0,1.0,2625.0,1,365,32,1,0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,True,11,0.02
176,1736063.0,within a few hours,1.0,0.8,False,8,True,True,Ãlvaro ObregÃ³n,19.34723,-99.19396,Hotel room,2,1.0,1.0,1.0,1800.0,1,90,365,35,1,4.82,4.76,4.94,4.88,4.89,4.94,4.85,False,7,0.35
217,737328.0,within an hour,1.0,0.84,True,18,True,True,CuauhtÃ©moc,19.43059,-99.17073,Hotel room,2,1.0,1.0,1.0,1111.0,2,730,362,23,1,4.83,4.87,4.83,5.0,5.0,4.83,4.78,True,10,0.2
219,757338.0,within a few hours,1.0,0.33,False,5,True,True,CoyoacÃ¡n,19.3454,-99.16951,Hotel room,10,3.0,5.0,0.0,3225.0,3,8,358,32,0,4.88,4.77,4.84,4.97,5.0,4.97,4.84,False,2,0.28
642,6810808.0,within a few hours,0.91,0.34,False,59,True,True,CuauhtÃ©moc,19.42368,-99.17148,Hotel room,16,1.0,50.0,50.0,4543.0,1,1125,365,7,2,3.71,3.86,3.86,4.33,3.86,3.86,3.57,True,19,0.09
911,9171973.0,within an hour,0.93,0.95,False,28,True,False,Miguel Hidalgo,19.40033,-99.25303,Hotel room,2,1.0,1.0,1.0,1075.0,2,1125,162,36,0,4.83,4.92,4.92,4.86,4.8,4.97,4.74,True,27,0.48
1014,11491144.0,within a few hours,0.91,0.34,False,59,True,True,CuauhtÃ©moc,19.42456,-99.17179,Hotel room,16,1.0,10.0,10.0,1817.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,19,0.0
1015,11507601.0,within a few hours,0.91,0.34,False,59,True,True,CuauhtÃ©moc,19.42543,-99.17176,Hotel room,16,1.0,20.0,20.0,1817.0,1,1125,365,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,19,0.04
1178,11865463.0,within an hour,1.0,1.0,True,11,True,True,CoyoacÃ¡n,19.35187,-99.16605,Hotel room,4,1.0,1.0,2.0,2200.0,1,1125,302,7,1,5.0,5.0,5.0,5.0,5.0,5.0,4.86,True,10,0.09
1185,11891097.0,within an hour,1.0,1.0,True,11,True,True,CoyoacÃ¡n,19.35185,-99.16608,Hotel room,5,1.0,1.0,3.0,2200.0,1,1125,302,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,10,0.05
1192,11905914.0,within an hour,1.0,1.0,True,11,True,True,CoyoacÃ¡n,19.35221,-99.16585,Hotel room,2,1.0,1.0,1.0,2100.0,1,1125,302,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,10,0.01
1196,11912604.0,within an hour,1.0,1.0,True,11,True,True,CoyoacÃ¡n,19.35221,-99.16585,Hotel room,3,1.0,2.0,2.0,2200.0,1,1125,327,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,10,0.02
1235,12008058.0,within an hour,0.9,1.0,True,2,True,True,Miguel Hidalgo,19.4282,-99.19292,Hotel room,4,2.0,2.0,3.0,5089.0,1,1125,347,32,10,4.9,4.9,4.94,5.0,4.9,4.97,4.77,True,2,0.47
1253,12798025.0,within an hour,1.0,0.95,True,11,True,True,Cuajimalpa de Morelos,19.358154,-99.277779,Hotel room,3,1.0,2.0,2.0,917.0,2,365,319,42,9,4.88,4.95,4.93,4.98,4.88,4.98,4.95,True,7,0.59
1486,13587715.0,within an hour,1.0,1.0,True,3,True,True,CuauhtÃ©moc,19.40315,-99.17053,Hotel room,2,1.0,1.0,1.0,531.0,3,1125,346,85,34,4.86,4.92,4.94,4.95,4.92,4.95,4.89,True,4,1.88
2325,16840020.0,within an hour,0.7,0.88,False,19,True,True,Ãlvaro ObregÃ³n,19.36133,-99.18829,Hotel room,6,1.0,1.0,5.0,1999.0,1,30,356,21,2,4.33,4.67,4.67,4.81,4.81,4.9,4.57,True,15,0.32
2329,16842742.0,within an hour,1.0,0.95,False,7,True,True,Ãlvaro ObregÃ³n,19.35765,-99.17713,Hotel room,1,1.0,1.0,1.0,749.0,1,1125,353,25,4,4.72,4.8,4.88,4.84,4.92,4.96,4.64,True,8,0.62
2578,17777234.0,within a few hours,0.91,0.34,False,59,True,True,CuauhtÃ©moc,19.42632,-99.17102,Hotel room,16,50.0,50.0,50.0,7875.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,19,0.0
3082,19914427.0,within an hour,1.0,1.0,False,17,True,True,Benito JuÃ¡rez,19.40245,-99.14661,Hotel room,2,1.0,1.0,1.0,1200.0,1,1125,334,15,0,4.87,4.8,4.8,4.87,5.0,4.6,4.8,True,16,0.25
3104,19945397.0,within a few hours,1.0,1.0,False,1,True,False,Miguel Hidalgo,19.42723,-99.19667,Hotel room,4,1.0,2.0,2.0,40386.0,1,115,360,11,1,4.82,4.91,4.91,5.0,5.0,5.0,4.64,True,2,0.19
3553,21681686.0,within an hour,1.0,0.98,False,15,True,True,CuauhtÃ©moc,19.42274,-99.15883,Hotel room,2,1.0,1.0,1.0,1977.0,1,120,153,106,44,4.89,4.92,4.8,4.82,4.87,4.99,4.83,True,12,2.06
3696,22321037.0,unknown,0.0,0.0,False,1,True,True,Benito JuÃ¡rez,19.39605,-99.17686,Hotel room,4,2.0,2.0,3.0,10000.0,1,1125,89,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.03
3949,23103056.0,within an hour,1.0,0.98,False,35,True,True,CuauhtÃ©moc,19.42331,-99.16816,Hotel room,2,1.0,1.0,1.0,1250.0,1,360,360,27,0,4.56,4.63,4.74,4.81,4.52,4.89,4.59,True,35,0.51
3994,23149529.0,within an hour,1.0,0.98,False,35,True,True,CuauhtÃ©moc,19.42357,-99.16805,Hotel room,2,1.0,1.0,1.0,1100.0,1,360,360,93,5,4.55,4.66,4.74,4.72,4.65,4.82,4.49,True,35,1.75
3998,23150278.0,within an hour,1.0,0.98,False,35,True,True,CuauhtÃ©moc,19.42329,-99.16814,Hotel room,2,1.0,1.0,1.0,1350.0,1,360,360,22,1,4.55,4.68,4.64,4.86,4.41,4.91,4.5,True,35,0.42
4046,23202761.0,within an hour,1.0,0.98,False,35,True,True,CuauhtÃ©moc,19.42357,-99.16805,Hotel room,2,1.0,1.0,1.0,1150.0,1,360,360,80,2,4.61,4.78,4.88,4.75,4.63,4.95,4.61,True,35,1.51
4163,23059446.0,within an hour,1.0,0.98,False,35,True,True,CuauhtÃ©moc,19.42331,-99.16816,Hotel room,2,1.0,1.0,1.0,1250.0,1,360,360,50,0,4.5,4.82,4.62,4.9,4.68,5.0,4.56,True,35,0.94
4170,23077162.0,within an hour,1.0,0.98,False,35,True,True,CuauhtÃ©moc,19.42329,-99.16814,Hotel room,2,1.0,1.0,1.0,1250.0,1,360,360,42,0,4.55,4.83,4.76,4.79,4.55,4.98,4.69,True,35,0.79
4241,23500896.0,within an hour,1.0,0.98,False,15,True,True,CuauhtÃ©moc,19.42234,-99.16106,Hotel room,2,1.0,1.0,1.0,1638.0,1,120,200,80,23,4.75,4.63,4.82,4.85,4.75,4.94,4.77,True,12,1.56
4324,23924789.0,within an hour,1.0,1.0,False,29,True,False,CuauhtÃ©moc,19.42498,-99.16867,Hotel room,2,1.0,1.0,1.0,1990.0,1,1125,357,13,1,4.23,4.08,4.85,4.69,4.77,5.0,3.77,True,16,0.25
4368,23957804.0,within an hour,1.0,1.0,False,29,True,False,CuauhtÃ©moc,19.42565,-99.1697,Hotel room,2,1.0,2.0,1.0,1990.0,1,1125,357,9,0,4.0,4.11,4.89,4.44,4.56,4.89,4.22,True,16,0.17
4373,23958426.0,within an hour,1.0,1.0,True,36,True,True,CuauhtÃ©moc,19.42658,-99.17046,Hotel room,2,1.0,2.0,1.0,1990.0,1,1125,357,13,4,4.92,4.77,5.0,4.85,5.0,5.0,4.77,True,17,0.25
4375,23958598.0,within an hour,1.0,1.0,True,36,True,True,CuauhtÃ©moc,19.42599,-99.17044,Hotel room,2,1.0,2.0,1.0,1990.0,1,1125,357,11,1,4.55,4.73,4.91,4.55,4.64,4.91,4.73,True,17,0.22
4379,23959123.0,within an hour,1.0,1.0,True,36,True,True,CuauhtÃ©moc,19.42669,-99.16958,Hotel room,2,1.0,2.0,1.0,1990.0,1,1125,357,16,1,4.63,4.5,4.69,4.75,4.94,4.88,4.44,True,17,0.31
