,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
157,16113518.0,unknown,0.0,0.73,True,3.0,True,True,Barra da Tijuca,-23.00573,-43.34159,Hotel room,2,1.0,1.0,1.0,257,3,120,0,8,0,5.0,4.88,4.88,5.0,5.0,4.88,4.75,False,3,0.12
174,26384256.0,unknown,0.0,1.0,False,22.0,True,True,JacarepaguÃ¡,-22.96805,-43.38766,Hotel room,2,1.0,2.0,1.0,214,3,1125,0,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
516,12307393.0,within an hour,1.0,0.98,False,12.0,True,True,Botafogo,-22.9559,-43.19293,Hotel room,4,2.5,1.0,4.0,179,1,1125,17,94,11,4.74,4.8,4.72,4.86,4.82,4.84,4.77,True,9,1.29
571,15560290.0,within a few hours,0.96,0.78,True,15.0,True,True,Santa Teresa,-22.91701,-43.18306,Hotel room,2,1.0,1.0,1.0,9999,1,30,0,28,0,4.86,4.86,4.86,4.89,4.93,4.79,4.79,True,10,0.43
627,38867334.0,within an hour,1.0,1.0,False,7.0,True,True,Centro,-22.91546,-43.17804,Hotel room,2,1.0,1.0,1.0,804,1,1125,226,25,22,4.44,4.6,4.32,4.68,4.52,4.56,4.36,True,8,1.56
671,37905870.0,within an hour,1.0,1.0,False,3.0,True,True,Barra da Tijuca,-22.97324,-43.39169,Hotel room,2,1.0,1.0,2.0,613,1,1125,307,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,3,0.0
1023,33907909.0,within an hour,1.0,0.99,False,26.0,True,True,Barra da Tijuca,-23.00545,-43.34148,Hotel room,3,1.0,2.0,2.0,329,3,185,91,117,34,4.5,4.71,4.5,4.78,4.7,4.75,4.61,True,25,3.03
1279,30392185.0,a few days or more,0.33,0.5,False,2.0,True,False,Botafogo,-22.94713,-43.18522,Hotel room,2,1.0,1.0,1.0,160,1,365,51,19,0,4.21,4.53,4.26,4.79,4.79,5.0,4.26,True,3,0.46
1751,38866404.0,within an hour,1.0,1.0,False,7.0,True,True,Centro,-22.91332,-43.1794,Hotel room,2,1.0,1.0,1.0,643,1,1125,242,4,3,4.75,5.0,5.0,4.25,4.25,5.0,4.5,True,8,0.29
3256,38320085.0,within a few hours,1.0,0.99,False,7.0,True,True,Barra da Tijuca,-23.00915,-43.35334,Hotel room,4,1.0,1.0,1.0,386,2,30,214,19,10,5.0,5.0,4.74,4.89,4.95,4.95,4.89,True,6,0.57
