,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
0,15965441.0,within an hour,0.83,0.0,False,3.0,True,True,CocotÃ¡,-22.8063,-43.17788,Private room,2,1.0,1.0,1.0,150,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,3,0.0
4,5.65e+17,within an hour,1.0,0.67,False,0.0,True,True,Del Castilho,-22.88168,-43.26803,Private room,4,1.5,2.0,3.0,180,2,60,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
8,13532247.0,unknown,0.0,1.0,False,1.0,False,False,JacarepaguÃ¡,-22.9712,-43.3594,Private room,6,3.0,3.0,6.0,500,2,1125,348,9,2,5.0,4.78,5.0,5.0,5.0,5.0,4.89,False,1,0.16
21,330146.0,a few days or more,0.0,0.0,False,1.0,True,False,Recreio dos Bandeirantes,-23.02176,-43.51962,Private room,4,1.0,1.0,2.0,200,2,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
22,11317564.0,within an hour,1.0,1.0,False,1.0,True,True,Botafogo,-22.94897,-43.19056,Private room,2,1.0,1.0,2.0,220,5,30,354,5,1,5.0,5.0,5.0,5.0,4.8,4.8,5.0,False,1,0.09
23,12207795.0,within a day,1.0,1.0,False,1.0,True,True,Engenho de Dentro,-22.89447,-43.28781,Private room,2,1.0,1.0,1.0,700,1,1125,358,9,0,4.78,4.78,5.0,4.89,4.78,4.56,4.78,True,1,0.13
25,51143535.0,within a day,0.65,0.97,False,10.0,True,True,Encantado,-22.89876,-43.30368,Private room,2,1.0,2.0,2.0,120,1,365,364,2,2,5.0,4.5,5.0,5.0,5.0,3.5,5.0,True,10,0.36
29,44341445.0,within an hour,1.0,1.0,False,1.0,True,True,Campinho,-22.88897,-43.34261,Private room,3,1.0,1.0,2.0,70,1,30,360,8,6,4.75,4.38,4.5,5.0,5.0,4.63,4.75,False,1,0.36
33,49273130.0,a few days or more,0.0,0.33,False,1.0,True,True,GrajaÃº,-22.91992,-43.26457,Private room,1,1.0,1.0,1.0,51,2,15,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
38,31901980.0,within a day,0.8,0.82,False,1.0,True,True,GrajaÃº,-22.91903,-43.26863,Private room,2,2.0,2.0,2.0,56,2,15,363,3,0,3.0,3.67,3.67,4.0,3.0,3.67,4.0,True,2,0.1
42,6950530.0,unknown,0.0,0.0,False,1.0,True,False,Urca,-22.94767,-43.16159,Private room,2,1.0,1.0,1.0,773,5,1125,363,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.01
44,22352363.0,within a day,0.57,1.0,False,5.0,True,False,Cacuia,-22.82164,-43.18844,Private room,2,1.0,1.0,1.0,180,1,60,111,21,0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,True,5,0.39
45,13861172.0,a few days or more,0.0,0.0,False,1.0,True,True,Freguesia (JacarepaguÃ¡),-22.94256,-43.34456,Private room,3,1.0,1.0,2.0,300,5,20,89,7,0,5.0,4.57,4.29,5.0,5.0,4.71,4.43,False,1,0.1
47,29248203.0,within a day,1.0,1.0,False,5.0,True,False,Recreio dos Bandeirantes,-23.00981,-43.46905,Private room,4,4.5,1.0,4.0,377,1,30,355,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,4,0.15
