,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
0,52390579.0,unknown,0.0,0.0,False,2,True,True,Cuajimalpa de Morelos,19.395126,-99.277374,Private room,1,3.0,3.0,1.0,752.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
2,15511977.0,a few days or more,0.0,0.0,False,2,True,False,Miguel Hidalgo,19.41095,-99.24418,Private room,2,1.0,1.0,1.0,800.0,1,1125,179,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.02
4,34776449.0,within an hour,1.0,1.0,True,3,True,True,Miguel Hidalgo,19.42641,-99.22591,Private room,3,1.0,1.0,2.0,1779.0,1,30,222,5,1,5.0,5.0,4.8,5.0,5.0,5.0,4.8,True,4,0.14
8,45767104.0,unknown,0.0,0.0,False,0,True,False,Miguel Hidalgo,19.41947,-99.24063,Private room,2,1.0,1.0,1.0,500.0,7,8,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
11,832805.0,within a few hours,0.98,0.59,False,0,True,True,CuauhtÃ©moc,19.44262,-99.14566,Private room,2,1.5,1.0,1.0,444.0,1,1125,288,125,2,4.75,4.74,4.66,4.9,4.92,4.47,4.79,False,6,1.08
12,61792.0,within an hour,1.0,0.8,False,1,True,True,CuauhtÃ©moc,19.41083,-99.18057,Private room,2,1.0,1.0,1.0,1212.0,2,1125,159,58,6,4.91,4.88,4.91,4.91,4.95,4.93,4.86,False,1,1.03
14,844818.0,a few days or more,0.0,0.0,False,1,True,False,Benito JuÃ¡rez,19.38336,-99.18197,Private room,2,1.0,1.0,0.0,460.0,2,1125,269,8,0,4.75,5.0,5.0,5.0,5.0,4.88,4.75,False,1,0.07
15,28466997.0,unknown,0.0,1.0,False,1,True,False,Cuajimalpa de Morelos,19.39683,-99.27678,Private room,1,1.5,1.0,1.0,1000.0,1,365,365,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.05
25,131610.0,unknown,0.0,0.0,False,3,True,False,CoyoacÃ¡n,19.35416,-99.16488,Private room,2,1.0,1.0,1.0,1379.0,1,730,88,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
28,171109.0,within a few hours,1.0,0.64,False,2,True,True,Benito JuÃ¡rez,19.39675,-99.17581,Private room,2,1.0,1.0,1.0,306.0,4,21,361,80,7,4.81,4.86,4.56,4.97,4.94,4.99,4.77,False,2,0.79
45,2088218.0,unknown,0.0,0.0,False,1,True,True,CoyoacÃ¡n,19.34022,-99.15306,Private room,1,1.5,1.0,1.0,375.0,2,1125,261,5,0,4.4,5.0,4.6,5.0,4.8,4.4,4.4,False,1,0.05
46,2093036.0,unknown,0.0,0.0,False,1,True,True,Miguel Hidalgo,19.44178,-99.20202,Private room,2,1.0,1.0,2.0,3130.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
47,252618.0,within an hour,1.0,1.0,False,5,True,True,CuauhtÃ©moc,19.41472,-99.15602,Private room,2,1.0,1.0,2.0,524.0,5,1825,144,18,2,4.06,4.18,4.35,4.56,4.29,4.65,4.18,True,4,0.14
48,1007174.0,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.43817,-99.15466,Private room,2,1.0,1.0,2.0,811.0,3,90,364,9,0,4.78,4.78,4.89,4.78,4.78,4.56,4.44,False,1,0.08
55,1013504.0,within an hour,1.0,1.0,False,2,True,True,CoyoacÃ¡n,19.34034,-99.18345,Private room,1,1.5,1.0,1.0,284.0,2,200,331,47,0,4.96,4.91,4.91,4.87,4.93,4.93,4.87,True,2,0.45
59,1051636.0,within a few hours,1.0,0.57,False,1,True,True,CuauhtÃ©moc,19.40592,-99.1691,Private room,1,1.0,1.0,1.0,788.0,2,1125,325,27,4,4.85,4.59,4.96,4.96,4.74,4.93,4.74,False,1,0.25
61,291804.0,unknown,0.0,0.0,False,1,True,False,Benito JuÃ¡rez,19.36305,-99.15412,Private room,1,1.0,1.0,1.0,608.0,2,14,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
63,2127400.0,within a day,1.0,0.33,False,1,True,True,CuauhtÃ©moc,19.4191,-99.15904,Private room,2,1.5,1.0,1.0,1716.0,2,7,172,157,2,4.97,4.94,4.97,4.98,4.96,4.96,4.95,False,1,1.53
64,1066945.0,within an hour,0.89,0.56,False,5,True,True,CoyoacÃ¡n,19.35445,-99.16251,Private room,2,1.0,1.0,1.0,1200.0,1,365,356,144,1,4.93,4.94,4.97,4.96,4.9,4.96,4.94,False,5,1.37
65,1087636.0,within an hour,1.0,0.87,False,2,True,True,CoyoacÃ¡n,19.30523,-99.18356,Private room,1,1.0,1.0,1.0,450.0,1,13,359,28,2,4.96,5.0,4.89,5.0,5.0,4.86,4.96,False,1,0.3
71,1107979.0,a few days or more,0.0,0.0,False,1,True,False,Iztapalapa,19.32227,-99.09046,Private room,1,1.0,1.0,1.0,277.0,1,1125,365,1,0,0.0,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.02
73,1135302.0,within an hour,1.0,0.79,True,3,True,True,Benito JuÃ¡rez,19.36613,-99.17831,Private room,3,1.0,1.0,1.0,450.0,2,1125,324,9,2,4.78,5.0,5.0,5.0,4.89,4.89,5.0,False,4,0.12
75,325812.0,unknown,0.0,0.77,False,1,True,False,CuauhtÃ©moc,19.43319,-99.14665,Private room,1,1.0,1.0,1.0,505.0,4,10,179,107,0,4.78,4.79,4.85,4.86,4.86,4.93,4.78,False,1,1.05
77,326296.0,within an hour,1.0,1.0,False,2,True,True,CoyoacÃ¡n,19.34034,-99.18345,Private room,2,1.5,1.0,1.0,348.0,2,160,279,193,0,4.79,4.81,4.83,4.86,4.92,4.74,4.84,True,2,1.7
79,2284377.0,within an hour,1.0,1.0,True,3,True,True,Miguel Hidalgo,19.436834,-99.207855,Private room,2,1.5,1.0,1.0,629.0,15,1125,267,16,3,4.94,4.94,4.88,4.88,4.94,5.0,4.88,False,1,0.16
80,1167552.0,within an hour,1.0,1.0,True,1,True,True,CuauhtÃ©moc,19.41317,-99.15735,Private room,2,1.5,1.0,2.0,747.0,3,28,81,119,13,4.91,4.9,4.68,4.97,4.97,4.95,4.89,False,1,1.08
81,1170780.0,within a day,1.0,0.0,False,2,True,False,Benito JuÃ¡rez,19.39129,-99.1888,Private room,2,1.0,1.0,1.0,426.0,3,1125,171,17,0,4.94,5.0,5.0,4.94,5.0,4.56,4.81,False,2,0.17
84,1211383.0,within a few hours,1.0,1.0,True,4,True,True,CoyoacÃ¡n,19.355,-99.16181,Private room,2,1.0,1.0,1.0,1014.0,5,21,161,21,1,4.78,4.84,4.89,4.95,4.84,4.95,4.68,False,3,0.2
87,2297850.0,within an hour,1.0,0.9,False,3,True,True,Miguel Hidalgo,19.42887,-99.17651,Private room,2,1.0,1.0,1.0,699.0,5,1125,355,221,7,4.74,4.73,4.87,4.89,4.92,4.94,4.77,False,4,2.17
89,329776.0,within a few hours,1.0,0.67,False,5,True,True,Tlalpan,19.2751,-99.17757,Private room,2,1.5,1.0,1.0,303.0,2,1125,0,16,1,4.81,4.94,4.75,4.93,5.0,4.6,4.8,True,5,0.27
91,331030.0,within a day,0.8,1.0,False,2,True,True,CoyoacÃ¡n,19.34549,-99.15872,Private room,2,1.0,1.0,1.0,1300.0,2,1125,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
97,2345760.0,unknown,0.0,0.0,False,1,True,False,Miguel Hidalgo,19.39969,-99.17173,Private room,1,2.0,1.0,1.0,500.0,3,15,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
98,350079.0,unknown,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.40639,-99.16686,Private room,1,1.0,1.0,1.0,1111.0,5,180,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
99,2350051.0,unknown,0.0,0.0,False,13,True,True,Benito JuÃ¡rez,19.37252,-99.14269,Private room,4,1.0,1.0,2.0,608.0,2,1125,364,13,0,4.69,4.62,4.69,5.0,4.77,4.46,4.54,False,3,0.14
100,357324.0,unknown,0.0,0.0,False,1,True,False,Miguel Hidalgo,19.40237,-99.24315,Private room,2,2.0,1.0,1.0,2028.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
101,1309198.0,within an hour,1.0,0.96,True,7,True,True,CoyoacÃ¡n,19.34356,-99.1286,Private room,2,1.0,1.0,1.0,350.0,3,1125,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,5,0.02
103,2373420.0,a few days or more,0.43,0.83,False,2,True,True,CoyoacÃ¡n,19.30729,-99.16962,Private room,1,1.0,1.0,1.0,380.0,7,1125,355,12,3,4.75,4.67,4.73,4.55,4.91,4.91,4.83,False,1,0.14
