,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
43,6.35e+17,unknown,0.0,0.0,False,0.0,True,True,Anil,-22.961683,-43.343987,Shared room,7,1.0,1.0,7.0,260,4,4,30,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
59,48230601.0,within a day,0.8,0.97,False,1.0,True,True,Ipanema,-22.9796,-43.20139,Shared room,2,1.0,1.0,2.0,120,3,1125,273,7,7,4.57,4.71,4.0,4.71,4.71,4.86,4.43,True,4,0.83
124,18079348.0,within an hour,1.0,1.0,False,21.0,True,True,Botafogo,-22.95483,-43.18653,Shared room,1,1.0,1.0,8.0,56,1,365,179,14,4,4.5,4.43,4.29,4.71,4.71,5.0,4.93,True,12,0.23
211,41975646.0,unknown,0.0,0.0,False,11.0,True,True,GlÃ³ria,-22.92203,-43.17996,Shared room,8,1.0,1.0,0.0,190,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,7,0.0
279,15051560.0,a few days or more,0.3,1.0,False,0.0,True,False,Laranjeiras,-22.9311,-43.18033,Shared room,1,6.5,1.0,12.0,80,1,365,316,10,6,4.6,4.7,4.6,4.8,4.8,5.0,5.0,True,2,0.36
379,34412391.0,unknown,0.0,0.0,False,1.0,True,True,Botafogo,-22.95682,-43.18368,Shared room,6,2.0,1.0,2.0,150,30,730,83,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
391,41131685.0,unknown,0.0,0.0,False,11.0,True,True,Santa Teresa,-22.92199,-43.18227,Shared room,1,1.0,1.0,3.0,190,1,1125,89,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,7,0.0
408,13129803.0,unknown,0.0,0.0,False,1.0,True,False,JacarepaguÃ¡,-22.96596,-43.38699,Shared room,4,1.0,1.0,4.0,2323,5,29,358,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
415,6.3e+17,within an hour,1.0,1.0,False,0.0,True,True,EstÃ¡cio,-22.91811,-43.20691,Shared room,4,1.0,1.0,4.0,69,1,30,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,4,0.0
435,44401511.0,within an hour,0.88,0.98,False,0.0,True,True,Leme,-22.9604,-43.16893,Shared room,15,2.0,1.0,10.0,50,1,365,182,15,15,4.53,4.6,4.6,4.67,4.53,4.33,4.67,True,7,1.79
451,53832553.0,within an hour,1.0,1.0,False,5.0,True,False,Engenho Novo,-22.90466,-43.26742,Shared room,16,4.0,1.0,16.0,64,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,8,0.0
498,44448270.0,within an hour,0.88,0.98,False,0.0,True,True,Leme,-22.95887,-43.17119,Shared room,6,2.0,1.0,6.0,62,1,365,216,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,7,0.38
542,52600972.0,within a few hours,0.8,0.8,False,0.0,True,True,JacarepaguÃ¡,-22.97432,-43.41252,Shared room,6,1.0,1.0,6.0,200,1,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,4,0.0
553,42089605.0,within a few hours,1.0,0.71,False,5.0,True,True,Vidigal,-22.99613,-43.23904,Shared room,10,2.0,1.0,10.0,80,2,1125,364,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,11,0.0
559,32104630.0,within a few hours,1.0,0.78,False,2.0,True,True,Vidigal,-22.99679,-43.24096,Shared room,1,1.0,1.0,1.0,56,1,15,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,10,0.0
584,10123138.0,within an hour,1.0,0.86,True,15.0,True,True,Curicica,-22.94864,-43.38305,Shared room,5,0.0,1.0,5.0,120,1,30,354,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,16,0.0
623,18707312.0,a few days or more,0.0,0.0,False,3.0,True,False,Freguesia (JacarepaguÃ¡),-22.93546,-43.35138,Shared room,2,2.0,1.0,2.0,200,1,30,364,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,3,0.0
680,42089963.0,within a few hours,1.0,0.71,False,5.0,True,True,Vidigal,-22.99622,-43.2375,Shared room,10,2.0,1.0,10.0,80,2,1125,87,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,11,0.0
