,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
181,617137.0,unknown,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.44614,-99.15868,Shared room,2,1.5,1.0,1.0,2028.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
232,3240086.0,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.43386,-99.14648,Shared room,5,1.0,1.0,5.0,333.0,3,1125,171,54,9,4.75,4.91,4.79,4.91,4.94,4.68,4.85,False,5,0.66
325,3923137.0,unknown,0.0,0.0,False,3,True,False,CuauhtÃ©moc,19.41772,-99.17836,Shared room,2,1.0,1.0,2.0,888.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
343,3938955.0,within an hour,1.0,0.97,True,1,True,True,CuauhtÃ©moc,19.40842,-99.17385,Shared room,1,1.0,1.0,0.0,315.0,2,11,172,101,25,4.93,4.94,4.9,5.0,5.0,5.0,4.92,False,1,1.18
344,5434219.0,within an hour,0.9,1.0,False,2,True,True,CuauhtÃ©moc,19.43883,-99.15283,Shared room,16,8.0,1.0,18.0,310.0,1,1125,363,22,1,4.5,4.77,4.55,4.68,4.73,4.77,4.59,True,2,0.26
496,5272066.0,within a few hours,1.0,1.0,False,2,True,True,CoyoacÃ¡n,19.32944,-99.16091,Shared room,2,2.0,1.0,3.0,203.0,1,1125,365,6,3,5.0,4.83,4.83,4.83,5.0,4.67,4.83,False,2,0.08
519,6312611.0,within a few hours,1.0,0.0,False,1,True,True,CuauhtÃ©moc,19.42006,-99.15327,Shared room,1,1.0,1.0,1.0,200.0,1,1125,356,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
529,6076798.0,within an hour,1.0,1.0,False,1,True,True,Venustiano Carranza,19.44329,-99.10947,Shared room,12,3.0,1.0,12.0,450.0,1,1125,320,55,15,4.8,4.82,4.91,4.93,4.89,4.67,4.91,True,1,0.64
677,7933584.0,within an hour,1.0,0.89,False,1,True,True,CuauhtÃ©moc,19.42818,-99.16122,Shared room,12,5.0,1.0,8.0,252.0,1,1125,358,54,26,4.59,4.63,4.43,4.72,4.69,4.81,4.52,False,1,0.79
699,6972071.0,within a few hours,0.91,0.34,False,59,True,True,CuauhtÃ©moc,19.42884,-99.13573,Shared room,16,4.0,1.0,16.0,1521.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,19,0.0
820,8357397.0,within a few hours,1.0,1.0,False,2,True,True,CoyoacÃ¡n,19.33435,-99.16144,Shared room,2,2.0,1.0,3.0,203.0,2,1125,365,1,0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,False,2,0.01
1224,11964525.0,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.40665,-99.15955,Shared room,2,1.0,1.0,2.0,3800.0,4,34,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
1288,13221271.0,within a few hours,0.91,0.34,False,59,True,True,CuauhtÃ©moc,19.42889,-99.13582,Shared room,16,1.0,1.0,16.0,1217.0,1,1125,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,19,0.0
1349,13293812.0,a few days or more,0.0,0.0,False,1,True,True,Iztapalapa,19.37201,-99.0367,Shared room,2,1.0,1.0,1.0,222.0,1,1125,89,2,0,4.5,4.5,4.5,4.5,4.5,5.0,5.0,True,1,0.03
1487,13591658.0,within an hour,1.0,0.95,True,18,True,True,Cuajimalpa de Morelos,19.36783,-99.26906,Shared room,2,1.0,1.0,2.0,799.0,1,1124,357,16,0,4.75,5.0,4.69,4.75,4.88,4.94,4.88,True,18,0.26
1504,13622872.0,within an hour,1.0,0.95,True,18,True,True,Cuajimalpa de Morelos,19.36686,-99.26983,Shared room,4,1.0,1.0,2.0,799.0,1,1125,363,12,0,4.67,4.83,4.92,4.92,4.92,4.92,4.75,True,18,0.2
