,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
0,102444.0,Unknown,0.0,0.0,False,True,False,1,La Florida,-33.55981,-70.55494,Shared room,3,0.0,1.0,2.0,70443,1.0,30.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
1,49392.0,within a day,0.5,0.0,False,True,True,3,Providencia,-33.43266,-70.60072,Private room,1,1.5,1.0,1.0,46669,3.0,30.0,178,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,2,0.0
2,24225724.0,a few days or more,0.0,0.0,False,True,False,1,Quilicura,-33.30319,-70.69612,Private room,1,1.0,1.0,2.0,18357,5.0,46.0,179,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
3,25352401.0,Unknown,0.0,0.0,False,True,False,1,La Pintana,-33.59622,-70.67131,Private room,1,2.0,2.0,2.0,10000,1.0,30.0,89,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
4,33305262.0,within a day,0.6,0.33,False,True,False,1,La Florida,-33.56327,-70.55508,Private room,1,1.0,1.0,1.0,11500,1.0,30.0,360,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.03
5,1618821.0,Unknown,0.0,0.0,False,True,False,1,La Florida,-33.58357,-70.58625,Private room,1,1.0,1.0,1.0,22013,7.0,30.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
6,11253705.0,within a day,1.0,0.0,False,True,False,1,La Pintana,-33.59979,-70.59242,Private room,2,2.5,1.0,2.0,52832,1.0,30.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
7,40707516.0,within an hour,1.0,0.9,True,True,True,3,Quilicura,-33.31922,-70.69587,Entire home/apt,2,1.0,1.0,1.0,70714,3.0,90.0,17,22.0,14,4.95,4.95,4.82,5.0,5.0,4.95,4.91,False,3,0.73
8,31726393.0,Unknown,0.0,0.0,False,True,True,1,La Florida,-33.56436,-70.56819,Entire home/apt,6,1.0,3.0,3.0,50000,1.0,30.0,179,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
9,47800065.0,a few days or more,0.0,1.0,False,True,True,1,Maipú,-33.5768,-70.78,Entire home/apt,6,2.0,2.0,4.0,150000,4.0,365.0,89,5.0,1,5.0,5.0,5.0,5.0,4.8,4.8,5.0,False,1,0.3
10,1805957.0,Unknown,0.0,1.0,False,True,True,1,Providencia,-33.43054,-70.61197,Entire home/apt,2,2.0,1.0,1.0,79248,15.0,90.0,347,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
11,513333.0,Unknown,0.0,0.0,False,True,True,3,Providencia,-33.42918,-70.59036,Private room,1,1.0,1.0,1.0,15000,1.0,30.0,172,71.0,0,4.86,4.87,4.82,4.97,4.91,4.97,4.9,False,1,0.64
12,529207.0,Unknown,0.0,0.0,False,True,True,1,Peñalolén,-33.47721,-70.52016,Private room,8,6.0,1.0,7.0,528323,5.0,365.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
13,533042.0,within an hour,0.93,1.0,False,True,True,1,Providencia,-33.42845,-70.61774,Entire home/apt,3,1.0,1.0,2.0,39624,3.0,30.0,132,122.0,17,4.59,4.86,4.51,4.88,4.83,4.93,4.63,True,1,1.8
14,1806658.0,Unknown,0.0,0.0,False,True,False,1,Recoleta,-33.42466,-70.64047,Private room,1,1.0,1.0,1.0,22894,2.0,30.0,362,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
