id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,Private room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
15965441,within an hour,0.83,0.00,False,3,True,True,Cocotá,-22.8063,-43.17788,Private room,2,1,1,1,$150.00,1,1125,365,0,0,,,,,,,,False,3,
47908784,within a day,0.50,1.00,False,1,True,False,Freguesia (Jacarepaguá),-22.93633,-43.34907,Entire home/apt,4,2,2,2,$450.00,7,1125,52,0,0,,,,,,,,False,1,
52239613,within a day,1.00,0.89,False,0,True,False,Curicica,-22.96253,-43.40291,Entire home/apt,5,1,2,5,$350.00,2,365,347,9,9,5,5,5,4.89,4.78,4.78,4.89,False,1,1.16
10445855,within an hour,1.00,1.00,False,2,True,True,Vila Militar,-22.87969,-43.40361,Entire home/apt,3,1,1,2,$145.00,3,300,79,46,1,4.78,4.91,4.89,4.93,4.87,4.7,4.57,False,1,0.64
5.65E+17,within an hour,1.00,0.67,False,0,True,True,Del Castilho,-22.88168,-43.26803,Private room,4,1.5,2,3,$180.00,2,60,365,0,0,,,,,,,,False,2,
35351763,unknown,0.00,0.00,False,1,True,False,Pavuna,-22.81321,-43.38573,Entire home/apt,1,1,2,3,$500.00,1,2,180,0,0,,,,,,,,True,1,
52237944,within an hour,1.00,0.99,False,0,True,True,Vasco da Gama,-22.89127,-43.23185,Entire home/apt,5,1,1,5,$90.00,1,365,350,6,6,4.83,4.67,5,5,5,4.83,5,True,3,0.71
46582098,within a day,1.00,0.00,False,0,True,True,Curicica,-22.96186,-43.40088,Entire home/apt,2,1,1,1,"$1,500.00",7,28,173,0,0,,,,,,,,False,1,
13532247,unknown,0.00,1.00,False,1,False,False,Jacarepaguá,-22.9712,-43.3594,Private room,6,3,3,6,$500.00,2,1125,348,9,2,5,4.78,5,5,5,5,4.89,False,1,0.16
45527723,within a few hours,0.80,0.60,False,6,True,False,Penha Circular,-22.83619,-43.28837,Entire home/apt,3,1,1,3,$100.00,7,90,362,0,0,,,,,,,,False,3,
14029066,a few days or more,0.00,0.00,False,1,True,False,Gardênia Azul,-22.96255,-43.34632,Entire home/apt,5,1,1,1,$533.00,1,40,365,0,0,,,,,,,,True,1,
53352919,within an hour,1.00,0.98,False,7,True,True,Barra de Guaratiba,-23.06492,-43.5673,Entire home/apt,16,10,8,8,"$8,000.00",1,365,365,0,0,,,,,,,,True,10,
26235725,a few days or more,0.22,0.00,False,2,True,True,Barra de Guaratiba,-23.06071,-43.56074,Entire home/apt,5,1,2,4,$950.00,4,1125,358,2,0,4.5,4.5,5,5,5,5,4.5,False,1,0.04
49968038,within a day,0.70,1.00,False,3,True,False,Itanhangá,-22.99996,-43.30358,Entire home/apt,4,1,1,2,$147.00,1,30,335,0,0,,,,,,,,True,2,
53308157,unknown,0.00,0.00,False,0,True,True,Guaratiba,-22.95145,-43.56587,Entire home/apt,6,2,3,2,$447.00,1,365,365,0,0,,,,,,,,True,1,
