id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
52390579,N/A,N/A,N/A,f,2,t,t,Cuajimalpa de Morelos,19.395126,-99.277374,Private room,1,3,3,1,$752.00,1,365,365,0,0,,,,,,,,t,1,
35797,N/A,N/A,N/A,f,2,t,t,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,2,1,1,1,"$4,056.00",1,7,363,0,0,,,,,,,,f,1,
15511977,a few days or more,0,N/A,f,2,t,f,Miguel Hidalgo,19.41095,-99.24418,Private room,2,1,1,1,$800.00,1,1125,179,1,0,5,5,5,5,5,5,5,t,1,0.02
44616,within an hour,1,0.66,f,9,t,t,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,14,5.5,5,8,"$18,000.00",1,365,347,56,7,4.59,4.56,4.69,4.85,4.75,4.98,4.47,f,11,0.43
34776449,within an hour,1,1,t,3,t,t,Miguel Hidalgo,19.42641,-99.22591,Private room,3,1,1,2,"$1,779.00",1,30,222,5,1,5,5,4.8,5,5,5,4.8,t,4,0.14
56074,within a few hours,1,0.9,t,2,t,t,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,2,1,1,1,$650.00,2,250,344,72,14,4.88,4.94,4.91,4.97,4.93,4.74,4.78,f,2,0.53
58955,within a day,1,0.29,f,1,t,t,Cuauhtémoc,19.42113,-99.15955,Entire home/apt,2,1.5,1,1,"$2,019.00",7,60,47,45,3,5,4.98,4.89,5,5,5,4.91,f,1,0.35
826691,within a day,0.67,0,f,6,t,t,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,2,1,1,1,$850.00,180,365,325,18,0,4.83,4.72,4.72,5,4.89,4.94,4.59,f,6,0.17
45767104,N/A,N/A,0,f,0,t,f,Miguel Hidalgo,19.41947,-99.24063,Private room,2,1,1,1,$500.00,7,8,365,0,0,,,,,,,,f,1,
826760,within a day,0.67,0,f,6,t,t,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,4,1,2,4,$971.00,4,370,203,17,0,4.69,4.56,4.56,5,4.94,4.94,4.67,f,6,0.15
828714,within an hour,1,1,f,1,t,t,Coyoacán,19.34183,-99.15533,Entire home/apt,4,1,2,2,$608.00,1,1125,140,25,0,4.75,4.96,4.88,4.96,4.96,4.96,4.87,t,1,0.36
832805,within a few hours,0.98,0.59,f,0,t,t,Cuauhtémoc,19.44262,-99.14566,Private room,2,1.5,1,1,$444.00,1,1125,288,125,2,4.75,4.74,4.66,4.9,4.92,4.47,4.79,f,6,1.08
61792,within an hour,1,0.8,f,1,t,t,Cuauhtémoc,19.41083,-99.18057,Private room,2,1,1,1,"$1,212.00",2,1125,159,58,6,4.91,4.88,4.91,4.91,4.95,4.93,4.86,f,1,1.03
67703,within an hour,1,0.67,f,5,t,t,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,4,1,2,3,"$1,918.00",4,30,325,42,3,4.92,4.82,4.79,4.92,4.9,4.97,4.97,f,2,0.33
844818,a few days or more,0,N/A,f,1,t,f,Benito Juárez,19.38336,-99.18197,Private room,2,1,1,,$460.00,2,1125,269,8,0,4.75,5,5,5,5,4.88,4.75,f,1,0.07
28466997,N/A,N/A,1,f,1,t,f,Cuajimalpa de Morelos,19.39683,-99.27678,Private room,1,1.5,1,1,"$1,000.00",1,365,365,2,1,5,5,5,5,5,5,5,f,1,0.05
2056622,within a day,1,0.86,t,3,t,f,Coyoacán,19.35585,-99.16315,Entire home/apt,3,1,1,2,"$1,602.00",2,1125,290,13,0,4.92,4.92,5,5,5,5,4.92,f,3,0.19
865012,within an hour,1,0.84,t,18,t,t,Cuauhtémoc,19.43078,-99.17011,Hotel room,2,1,1,1,"$1,111.00",2,730,356,31,1,4.97,4.97,4.94,5,5,4.97,4.97,t,10,0.27
70644,within a few hours,1,1,t,4,t,t,Coyoacán,19.35448,-99.16217,Entire home/apt,2,1,1,1,"$1,197.00",7,180,153,112,8,4.9,4.9,4.95,4.95,4.98,4.96,4.92,f,3,0.89
2056638,within a day,1,0.86,t,3,t,f,Coyoacán,19.35353,-99.16299,Entire home/apt,3,1.5,1,1,"$1,602.00",1,1125,290,21,0,4.95,4.71,4.95,5,4.95,5,4.86,f,3,0.2
107078,within an hour,1,0.97,t,3,t,t,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,2,1.5,1,1,"$3,796.00",4,365,208,10,0,5,5,5,5,4.78,4.89,4.78,t,3,0.14
865070,within a few hours,1,0.33,f,5,t,t,Coyoacán,19.34424,-99.17095,Hotel room,2,1,1,1,$608.00,3,15,351,9,1,4.89,5,5,5,5,5,4.89,f,2,0.08
2072354,N/A,N/A,N/A,f,3,t,t,Coyoacán,19.35358,-99.16948,Entire home/apt,2,1,1,1,$900.00,3,1125,320,60,0,4.85,4.9,4.88,4.93,5,4.95,4.83,t,2,0.58
868843,within an hour,1,0.84,t,18,t,t,Cuauhtémoc,19.43068,-99.17007,Hotel room,2,1,1,1,"$1,010.00",2,730,361,41,6,4.98,4.98,4.9,5,5,5,4.88,t,10,0.43
868986,within an hour,1,0.84,t,18,t,t,Cuauhtémoc,19.4306,-99.17074,Entire home/apt,2,1,1,1,"$1,010.00",2,730,362,19,1,4.89,4.95,4.89,4.89,4.95,4.95,4.79,t,10,0.17
131610,N/A,N/A,N/A,f,3,t,f,Coyoacán,19.35416,-99.16488,Private room,2,1,1,1,"$1,379.00",1,730,88,0,0,,,,,,,,f,3,
2075738,within a few hours,0.9,0.79,f,1,t,t,Cuauhtémoc,19.41909,-99.16043,Entire home/apt,2,2,1,1,"$2,827.00",2,30,299,65,17,4.86,4.91,4.72,4.91,4.83,5,4.83,f,1,0.64
165772,within an hour,1,0.98,f,5,t,t,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,16,5,5,10,"$3,837.00",2,365,231,278,8,4.88,4.91,4.86,4.94,4.93,4.7,4.9,f,6,2.09
171109,within a few hours,1,0.64,f,2,t,t,Benito Juárez,19.39675,-99.17581,Private room,2,1,1,1,$306.00,4,21,361,80,7,4.81,4.86,4.56,4.97,4.94,4.99,4.77,f,2,0.79
180808,within an hour,0.9,1,f,2,t,t,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,2,1.5,1,1,"$1,503.00",3,365,323,38,1,4.74,4.84,4.68,4.87,4.84,4.89,4.71,t,1,0.31
869063,within an hour,1,0.84,t,18,t,t,Cuauhtémoc,19.43052,-99.17003,Hotel room,2,1,1,1,"$1,010.00",2,730,355,19,1,4.95,5,4.95,5,5,4.95,4.95,t,10,0.24
883511,within a few hours,0.98,0.59,f,0,t,t,Cuauhtémoc,19.44207,-99.14797,Entire home/apt,16,5.5,10,16,"$2,827.00",1,90,249,209,27,4.8,4.81,4.8,4.9,4.95,4.41,4.79,f,6,1.83
898633,within an hour,1,0.6,t,2,t,t,Cuauhtémoc,19.42063,-99.16586,Entire home/apt,2,1,1,2,"$1,817.00",2,45,350,51,2,4.92,4.92,4.94,4.9,4.96,4.92,4.9,f,2,0.45
187030,within an hour,1,1,t,6,t,t,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,2,1,1,1,"$2,142.00",14,365,171,98,1,4.54,4.64,4.64,4.83,4.88,4.92,4.48,f,6,0.76
187745,within an hour,1,1,t,6,t,t,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,3,2,1,2,"$1,817.00",2,365,171,24,0,4.67,4.58,4.58,4.83,4.79,5,4.63,f,6,0.23
194937,within an hour,1,1,t,6,t,t,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,2,1,1,1,"$2,200.00",14,1125,179,64,0,4.67,4.67,4.8,4.86,5,4.95,4.67,f,6,0.5
913084,within an hour,1,1,t,3,t,t,Miguel Hidalgo,19.43956,-99.17263,Entire home/apt,4,1,2,3,"$2,057.00",2,1125,180,139,27,4.75,4.82,4.73,4.83,4.92,4.44,4.75,t,2,1.25
2083241,within an hour,1,0.99,t,6,t,t,Cuauhtémoc,19.4153,-99.16763,Entire home/apt,3,1,1,2,"$1,600.00",3,1125,140,246,41,4.93,4.93,4.96,5,4.99,4.94,4.9,f,3,2.62
